-26796 -27344 -27328 -27314	-27296 -27277 -27253 -27234
-27209 -27184 -27156 -27128	-27102 -27069 -27044 -27014
-26984 -26959 -26928 -26903	-26881 -26856 -26831 -26809
-26794 -26777 -26761 -26744	-26734 -26724 -26716 -26706
-26699 -26694 -26691 -26689	-26684 -26678 -26678 -26678
-26678 -26678 -26677 -26677	-26674 -26674 -26669 -26669
-26664 -26666 -26662 -26656	-26653 -26646 -26644 -26641
-26636 -26631 -26627 -26619	-26616 -26606 -26601 -26594
-26586 -26581 -26578 -26569	-26564 -26559 -26556 -26552
-26546 -26544 -26544 -26544	-26544 -26546 -26549 -26553
-26564 -26569 -26581 -26591	-26606 -26624 -26639 -26656
-26678 -26702 -26721 -26746	-26766 -26791 -26814 -26841
-26866 -26889 -26916 -26936	-26959 -26981 -27001 -27019
-27039 -27053 -27071 -27084	-27099 -27111 -27121 -27131
-27139 -27149 -27159 -27164	-27171 -27181 -27191 -27203
-27211 -27219 -27231 -27244	-27252 -27264 -27277 -27289
-27299 -27314 -27326 -27336	-27346 -27356 -27361 -27371
-27374 -27382 -27384 -27384	-27381 -27377 -27371 -27361
-27353 -27466 -27414 -27356	-27296 -27234 -27161 -27089
-27009 -26919 -26831 -26736	-26636 -26531 -26428 -26328
-26228 -26131 -26044 -25964	-25896 -25841 -25801 -25777
-25766 -25772 -25791 -25824	-25866 -25921 -25978 -26044
-26109 -26176 -26239 -26299	-26356 -26403 -26449 -26489
-26526 -26553 -26578 -26603	-26621 -26641 -26656 -26671
-26681 -26694 -26701 -26709	-26714 -26716 -26716 -26714
-26711 -26706 -26699 -26691	-26684 -26674 -26664 -26656
-26644 -26636 -26626 -26616	-26609 -26599 -26596 -26584
-26581 -26576 -26569 -26569	-26571 -26574 -26584 -26591
-26609 -26628 -26653 -26687	-26726 -26766 -26814 -26866
-26919 -26974 -27034 -27091	-27149 -27206 -27259 -27306
-27356 -27399 -27434 -27459	-27481 -27496 -27503 -27503
-27501 -27484 -27464 -27439	-27409 -27369 -27331 -27291
-27249 -27211 -27171 -27139	-27114 -27091 -27078 -27069
-27078 -27091 -27109 -27139	-27171 -27214 -27261 -27306
-27356 -27409 -27453 -27503	-27541 -27578 -27609 -27634
-27649 -27656 -27656 -27651	-27636 -27614 -27586 -27551
-27509 -26869 -26811 -26761	-26719 -26678 -26641 -26599
-26551 -26484 -26403 -26299	-26169 -26016 -25844 -25657
