51.6 42.9 47.7 67.0 59.5 62.1 53.5 54.0 60.2 74.9 55.2 81.7 51.4 66.8 53.5 73.5	75.3 122.0 72.9 74.0 122.0 46.0 35.7 38.9 74.1 66.2 39.8 36.2 62.4 53.3 56.0 90.2
70.5 59.9 64.6 82.4 73.1 73.4 70.1 70.7 76.5 78.3 72.7 76.6 57.6 74.4 72.7 80.6	116.6 126.7 120.6 122.4 154.0 99.7 108.3 106.4 95.7 107.4 106.3 85.4 97.3 122.5 138.8 160.4
70.4 77.5 66.7 72.6 77.4 73.8 71.9 60.3 65.4 72.0 72.9 73.4 64.9 69.0 73.1 59.0	84.1 149.9 89.2 84.2 165.8 85.2 106.0 96.5 72.2 92.0 73.7 29.4 81.2 60.4 87.1 47.0
53.3 87.6 63.6 74.0 79.4 68.6 63.6 59.0 63.4 73.9 65.1 68.9 66.7 67.2 68.6 77.5	141.2 166.1 156.6 148.5 171.0 112.9 102.4 116.5 134.2 129.1 103.3 83.2 123.2 80.9 167.0 182.9
40.6 81.1 64.3 65.2 77.2 58.8 57.4 50.4 49.4 68.3 61.1 63.9 61.3 66.6 66.5 78.8	130.3 165.5 154.1 145.0 171.1 99.7 118.5 112.4 84.2 121.7 115.4 65.5 98.1 93.2 163.3 188.5
37.3 73.4 47.5 61.0 67.0 54.6 41.6 51.6 63.0 71.9 48.2 70.6 32.4 76.6 65.4 77.8	87.5 133.4 109.8 118.6 143.0 67.5 67.4 70.5 70.6 121.1 69.5 65.9 80.0 80.8 131.4 114.3
40.4 64.1 54.0 62.4 70.8 55.4 40.2 52.7 58.4 62.8 49.7 68.9 59.0 56.2 58.0 65.9	60.9 74.4 69.5 66.1 101.2 32.5 30.4 44.7 59.7 63.2 34.3 17.7 53.5 64.0 89.2 98.1
43.6 69.5 59.7 60.5 68.1 41.1 34.1 40.5 46.2 62.7 35.5 64.9 34.8 56.9 65.2 80.0	104.9 155.3 147.2 125.0 159.4 62.3 53.6 47.4 72.6 76.6 52.4 57.7 43.3 84.8 157.0 174.6
21.3 26.7 20.4 42.5 37.8 33.4 25.8 38.9 43.5 86.1 35.7 95.7 45.7 92.2 47.0 71.2	122.0 33.2 118.6 122.4 51.0 106.9 106.0 127.8 116.8 132.6 115.2 124.1 88.8 146.1 124.8 154.4
6.7 24.9 21.9 15.8 17.5 24.3 14.2 47.8 34.4 75.6 17.4 92.7 20.6 77.9 67.7 69.8	53.5 20.9 62.5 55.2 24.0 97.7 79.6 80.7 67.4 58.7 81.8 92.8 67.3 100.3 81.1 100.0
